date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,10,0,BE,08:00:00,2,0.2002,0.172,0.180333333333333,0.071,0.1,N,0.123,Monday
2019-01-08,10,0,BE,08:00:00,2,0.179,0.151,0.157,0.076,0.114,N,0.136,Tuesday
2019-01-09,10,0,BE,08:00:00,2,0.171,0.156,0.136,0.065,0.091,N,0.114,Wednesday
2019-01-10,10,0,BE,08:00:00,2,0.178,0.183,0.136,0.07,0.116,N,0.148,Thursday
2019-01-11,10,0,BE,08:00:00,2,0.166,0.187,0.117,0.07,0.103,N,0.132,Friday
2019-01-14,10,0,BE,08:00:00,2,0.1576,0.18,0.143,0.061,0.099,N,0.124,Monday
2019-01-15,10,0,BE,08:00:00,2,0.174,0.185,0.144,0.05,0.078,N,0.095,Tuesday
2019-01-16,10,0,BE,08:00:00,2,0.168,0.19,0.131,0.048,0.074,N,0.111,Wednesday
2019-01-17,10,0,BE,08:00:00,2,0.18,0.19,0.123,0.068,0.1,N,0.125,Thursday
2019-01-18,10,0,BE,08:00:00,2,0.202,0.308,0.13875,0.094,0.131,N,0.161,Friday
2019-01-21,10,0,BE,08:00:00,2,0.17,0.145,0.1561875,0.079,0.111,N,0.152,Monday
2019-01-22,10,0,BE,08:00:00,2,0.154,0.14,0.1561875,0.061,0.097,N,0.134,Tuesday
2019-01-23,10,0,BE,08:00:00,2,0.159,0.15,0.1561875,0.076,0.104,N,0.124,Wednesday
2019-01-24,10,0,BE,08:00:00,2,0.271,0.294,0.1500375,0.079,0.117,N,0.144,Thursday
2019-01-25,10,0,BE,08:00:00,2,0.149,0.241,0.115,0.066,0.098,N,0.131,Friday
2019-01-28,10,0,BE,08:00:00,2,0.168,0.185,0.104,0.057,0.087,N,0.112,Monday
2019-01-29,10,0,BE,08:00:00,2,0.173,0.178,0.129,0.074,0.104,N,0.134,Tuesday
2019-02-01,10,0,BE,08:00:00,2,0.2006,0.1804,0.162,0.092,0.131,N,0.174,Friday
2019-02-05,10,0,BE,08:00:00,2,0.247,0.276,0.214,0.101,0.137,N,0.188,Tuesday
2019-02-06,10,0,BE,08:00:00,2,0.146,0.149,0.131,0.091,0.131,N,0.168,Wednesday
2019-02-08,10,0,BE,08:00:00,2,0.184,0.195,0.149,0.054,0.088,N,0.114,Friday
2019-02-11,10,0,BE,08:00:00,2,0.198,0.133,0.159,0.055,0.088,N,0.108,Monday
2019-02-12,10,0,BE,08:00:00,2,0.188,0.151,0.124,0.053,0.095,N,0.124,Tuesday
2019-02-13,10,0,BE,08:00:00,2,0.172,0.2164,0.142,0.055,0.083,N,0.11,Wednesday
2019-02-15,10,0,BE,08:00:00,2,0.151,0.153,0.197,0.099,0.148,N,0.184,Friday
2019-02-18,10,0,BE,08:00:00,2,0.167,0.161,0.148,0.07,0.098,N,0.115,Monday
2019-02-19,10,0,BE,08:00:00,2,0.243,0.1798,0.142,0.056,0.088,N,0.118,Tuesday
2019-02-21,10,0,BE,08:00:00,2,0.391,0.203,0.1474375,0.079,0.117,N,0.149,Thursday
2019-03-11,10,0,BE,08:00:00,2,0.181,0.177,0.1495575,0.077,0.107,N,0.127,Monday
2019-03-12,10,0,BE,08:00:00,2,0.183,0.21456,0.134,0.072,0.106,N,0.145,Tuesday
2019-03-14,10,0,BE,08:00:00,2,0.239,0.1798,0.157,0.069,0.099,N,0.127,Thursday
2019-03-15,10,0,BE,08:00:00,2,0.187,0.1694,0.134,0.056,0.083,N,0.099,Friday
2019-03-18,10,0,BE,08:00:00,2,0.19,0.183,0.1495575,0.075,0.113,N,0.139,Monday
2019-03-20,10,0,BE,08:00:00,2,0.18,0.176,0.1519575,0.095,0.132,N,0.161,Wednesday
2019-03-22,10,0,BE,08:00:00,2,0.188,0.173,0.119,0.063,0.094,N,0.117,Friday
2019-03-26,10,0,BE,08:00:00,2,0.2002,0.182,0.1659575,0.059,0.088,N,0.12,Tuesday
2019-03-27,10,0,BE,08:00:00,2,0.158,0.188,0.1549575,0.056,0.093,N,0.124,Wednesday
2019-03-28,10,0,BE,08:00:00,2,0.168,0.185,0.111,0.077,0.107,N,0.14,Thursday
2019-03-29,10,0,BE,08:00:00,2,0.17,0.164,0.144,0.07,0.104,N,0.128,Friday
2019-04-01,10,0,BE,08:00:00,2,0.202,0.187,0.142,0.087,0.113,N,0.138,Monday
2019-04-02,10,0,BE,08:00:00,2,0.165,0.171,0.132,0.058,0.092,N,0.121,Tuesday
2019-04-04,10,0,BE,08:00:00,2,0.155,0.17,0.13,0.128,0.168,N,0.197,Thursday
2019-04-05,10,0,BE,08:00:00,2,0.162,0.15,0.131,0.069,0.107,N,0.128,Friday
2019-04-08,10,0,BE,08:00:00,2,0.161,0.163,0.153,0.088,0.126,N,0.146,Monday
2019-04-09,10,0,BE,08:00:00,2,0.161,0.178,0.123,0.053,0.087,N,0.107,Tuesday
2019-04-10,10,0,BE,08:00:00,2,0.178,0.164,0.121,0.051,0.081,N,0.108,Wednesday
2019-04-11,10,0,BE,08:00:00,2,0.17,0.177,0.133,0.068,0.1,N,0.127,Thursday
2019-04-15,10,0,BE,08:00:00,2,0.177,0.189,0.163,0.094,0.144,N,0.184,Monday
2019-04-18,10,0,BE,08:00:00,2,0.17,0.159,0.133,0.066,0.097,N,0.109,Thursday
2019-04-19,10,0,BE,08:00:00,2,0.155,0.149,0.136,0.069,0.099,N,0.125,Friday
2019-05-06,10,0,BE,08:00:00,2,0.195,0.15,0.129,0.054,0.088,N,0.113,Monday
