date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,10,0,BD,08:00:00,2,0.1848,0.139,0.129666666666667,0.071,N,N,0.1,Monday
2019-01-08,10,0,BD,08:00:00,2,0.14,0.122,0.126,0.076,N,N,0.114,Tuesday
2019-01-09,10,0,BD,08:00:00,2,0.144,0.13,0.113,0.065,N,N,0.091,Wednesday
2019-01-10,10,0,BD,08:00:00,2,0.139,0.149,0.112,0.07,N,N,0.116,Thursday
2019-01-11,10,0,BD,08:00:00,2,0.128,0.144,0.102,0.07,N,N,0.103,Friday
2019-01-14,10,0,BD,08:00:00,2,0.1316,0.145,0.121,0.061,N,N,0.099,Monday
2019-01-15,10,0,BD,08:00:00,2,0.139,0.152,0.146,0.05,N,N,0.078,Tuesday
2019-01-16,10,0,BD,08:00:00,2,0.127,0.151,0.119,0.048,N,N,0.074,Wednesday
2019-01-17,10,0,BD,08:00:00,2,0.146,0.151,0.097,0.068,N,N,0.1,Thursday
2019-01-18,10,0,BD,08:00:00,2,0.15,0.237,0.11825,0.094,N,N,0.131,Friday
2019-01-21,10,0,BD,08:00:00,2,0.142,0.13,0.1328125,0.079,N,N,0.111,Monday
2019-01-22,10,0,BD,08:00:00,2,0.126,0.116,0.1365625,0.061,N,N,0.097,Tuesday
2019-01-23,10,0,BD,08:00:00,2,0.127,0.126,0.1385625,0.076,N,N,0.104,Wednesday
2019-01-24,10,0,BD,08:00:00,2,0.242,0.263,0.1283125,0.079,N,N,0.117,Thursday
2019-01-25,10,0,BD,08:00:00,2,0.103,0.1901,0.1,0.066,N,N,0.098,Friday
2019-01-28,10,0,BD,08:00:00,2,0.1316,0.154,0.093,0.057,N,N,0.087,Monday
2019-01-29,10,0,BD,08:00:00,2,0.134,0.141,0.103,0.074,N,N,0.104,Tuesday
2019-02-01,10,0,BD,08:00:00,2,0.14372,0.1412,0.131,0.092,N,N,0.131,Friday
2019-02-05,10,0,BD,08:00:00,2,0.195,0.22,0.173,0.101,N,N,0.137,Tuesday
2019-02-06,10,0,BD,08:00:00,2,0.115,0.128,0.109,0.091,N,N,0.131,Wednesday
