date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,10,0,AX,10:00:00,2,0.1254,0.104,0.0966666666666667,N,N,N,0.071,Monday
2019-01-08,10,0,AX,10:00:00,2,0.098,0.094,0.095,N,N,N,0.076,Tuesday
2019-01-09,10,0,AX,10:00:00,2,0.097,0.094,0.087,N,N,N,0.065,Wednesday
2019-01-10,10,0,AX,10:00:00,2,0.099,0.113,0.08,N,N,N,0.07,Thursday
2019-01-11,10,0,AX,10:00:00,2,0.089,0.105,0.087,N,N,N,0.07,Friday
2019-01-14,10,0,AX,10:00:00,2,0.125,0.106,0.095,N,N,N,0.061,Monday
2019-01-15,10,0,AX,10:00:00,2,0.093,0.119,0.098,N,N,N,0.05,Tuesday
2019-01-16,10,0,AX,10:00:00,2,0.089,0.115,0.095,N,N,N,0.048,Wednesday
2019-01-17,10,0,AX,10:00:00,2,0.105,0.117,0.072,N,N,N,0.068,Thursday
2019-01-18,10,0,AX,10:00:00,2,0.112,0.16,0.095,N,N,N,0.094,Friday
2019-01-21,10,0,AX,10:00:00,2,0.107,0.099,0.1,N,N,N,0.079,Monday
2019-01-22,10,0,AX,10:00:00,2,0.084,0.085,0.105,N,N,N,0.061,Tuesday
2019-01-23,10,0,AX,10:00:00,2,0.091,0.087,0.105,N,N,N,0.076,Wednesday
2019-01-24,10,0,AX,10:00:00,2,0.202,0.219,0.0968,N,N,N,0.079,Thursday
2019-01-25,10,0,AX,10:00:00,2,0.066,0.12744,0.073,N,N,N,0.066,Friday
2019-01-28,10,0,AX,10:00:00,2,0.095,0.123,0.07,N,N,N,0.057,Monday
2019-01-29,10,0,AX,10:00:00,2,0.095,0.104,0.078,N,N,N,0.074,Tuesday
2019-02-01,10,0,AX,10:00:00,2,0.0902,0.13584,0.1,N,N,N,0.092,Friday
2019-02-05,10,0,AX,10:00:00,2,0.124,0.164,0.125,N,N,N,0.101,Tuesday
2019-02-06,10,0,AX,10:00:00,2,0.08,0.106,0.07,N,N,N,0.091,Wednesday
2019-02-08,10,0,AX,10:00:00,2,0.097,0.124,0.094,N,N,N,0.054,Friday
