date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,1,0,AI,06:00:00,2,0.097,0.166,N,0.216,0.23,0.201,0.275,Monday
2019-01-08,1,0,AI,06:00:00,2,0.106,0.177,N,0.216,0.247,0.204,0.268,Tuesday
2019-01-10,1,0,AI,06:00:00,2,0.127,0.14,N,0.227,0.25,0.213,0.268,Thursday
2019-01-11,1,0,AI,06:00:00,2,0.073,0.160248,N,0.229,0.253,0.213,0.281,Friday
2019-01-14,1,0,AI,06:00:00,2,0.116,0.158128,N,0.225,0.258,0.21,0.302,Monday
2019-01-15,1,0,AI,06:00:00,2,0.108,0.151,N,0.238,0.254,0.218,0.275,Tuesday
2019-01-17,1,0,AI,06:00:00,2,0.103,0.160248,N,0.228,0.239,0.209,0.26,Thursday
2019-01-18,1,0,AI,06:00:00,2,0.102,0.126,N,0.217,0.221,0.207,0.232,Friday
2019-01-21,1,0,AI,06:00:00,2,0.11112,0.146,N,0.258,0.257,0.234,0.297,Monday
2019-01-22,1,0,AI,06:00:00,2,0.119,0.265,N,0.242,0.261,0.223,0.273,Tuesday
2019-01-23,1,0,AI,06:00:00,2,0.1,0.175,N,0.244,0.251,0.225,0.264,Wednesday
2019-01-24,1,0,AI,06:00:00,2,0.132,0.169,N,0.241,0.258,0.218,0.298,Thursday
2019-01-28,1,0,AI,06:00:00,2,0.146,0.1689376,N,0.221,0.246,0.207,0.271,Monday
2019-01-29,1,0,AI,06:00:00,2,0.116824,0.178,N,0.221,0.22,0.204,0.229,Tuesday
2019-01-31,1,0,AI,06:00:00,2,0.104,0.1482,N,0.213,0.241,0.196,0.268,Thursday
2019-02-01,1,0,AI,06:00:00,2,0.101,0.18744,N,0.189,0.198,0.175,0.232,Friday
2019-02-04,1,0,AI,06:00:00,2,0.101,0.134,N,0.217,0.245,0.199,0.302,Monday
2019-02-05,1,0,AI,06:00:00,2,0.116824,0.162,N,0.216,0.227,0.199,0.26,Tuesday
2019-02-06,1,0,AI,06:00:00,2,0.119,0.143,N,0.23,0.233,0.208,0.258,Wednesday
2019-02-07,1,0,AI,06:00:00,2,0.119,0.168,N,0.243,0.261,0.226,0.322,Thursday
2019-02-11,1,0,AI,06:00:00,2,0.106,0.163,N,0.181,0.202,0.166,0.225,Monday
2019-02-12,1,0,AI,06:00:00,2,0.101,0.159,N,0.207,0.228,0.19,0.247,Tuesday
2019-02-13,1,0,AI,06:00:00,2,0.094,0.145,N,0.255,0.257,0.236,0.278,Wednesday
2019-02-14,1,0,AI,06:00:00,2,0.10932,0.136,N,0.232,0.253,0.216,0.28,Thursday
2019-02-15,1,0,AI,06:00:00,2,0.163,0.112,N,0.211,0.209,0.2,0.24,Friday
2019-02-18,1,0,AI,06:00:00,2,0.107,0.165,N,0.207,0.233,0.196,0.252,Monday
2019-02-19,1,0,AI,06:00:00,2,0.089,0.182,N,0.2,0.237,0.185,0.284,Tuesday
2019-02-21,1,0,AI,06:00:00,2,0.08,0.189,N,0.204,0.222,0.187,0.24,Thursday
2019-03-11,1,0,AI,06:00:00,2,0.10932,0.152,N,0.229,0.239,0.222,0.304,Monday
2019-03-12,1,0,AI,06:00:00,2,0.142,0.166,N,0.248,0.238,0.234,0.254,Tuesday
