date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,23,0,AN,06:00:00,2,0.044,0.099,N,0.061,0.026,N,0.07,Monday
2019-01-14,23,0,AN,06:00:00,2,0.086,0.09125,N,0.052,0.021,N,0.065,Monday
2019-01-16,23,0,AN,06:00:00,2,0.039,0.09021667,N,0.063,0.031,N,0.072,Wednesday
2019-01-17,23,0,AN,06:00:00,2,0.042,0.088,N,0.054,0.025,N,0.065,Thursday
2019-01-18,23,0,AN,06:00:00,2,0.042,0.091325,N,0.046,0.02,N,0.057,Friday
2019-01-21,23,0,AN,06:00:00,2,0.051,0.107,N,0.062,0.022,N,0.076,Monday
2019-01-22,23,0,AN,06:00:00,2,0.117,0.0886,N,0.053,0.022,N,0.065,Tuesday
2019-01-24,23,0,AN,06:00:00,2,0.056,0.104,N,0.058,0.022,N,0.067,Thursday
2019-01-25,23,0,AN,06:00:00,2,0.04,0.073,N,0.053,0.029,N,0.056,Friday
2019-01-28,23,0,AN,06:00:00,2,0.05,0.0893125,N,0.059,0.028,N,0.067,Monday
2019-01-29,23,0,AN,06:00:00,2,0.046,0.076,N,0.057,0.032,N,0.069,Tuesday
2019-02-01,23,0,AN,06:00:00,2,0.0466,0.077,N,0.06,0.027,N,0.07,Friday
2019-02-04,23,0,AN,06:00:00,2,0.041,0.078,N,0.059,0.021,N,0.07,Monday
2019-02-05,23,0,AN,06:00:00,2,0.045,0.08,N,0.055,0.02,N,0.064,Tuesday
2019-02-06,23,0,AN,06:00:00,2,0.039,0.084,N,0.045,0.011,N,0.053,Wednesday
2019-02-08,23,0,AN,06:00:00,2,0.042,0.082,N,0.044,0.021,N,0.049,Friday
2019-02-11,23,0,AN,06:00:00,2,0.036,0.107,N,0.044,0.015,N,0.053,Monday
2019-02-12,23,0,AN,06:00:00,2,0.043,0.099,N,0.05,0.018,N,0.058,Tuesday
2019-02-13,23,0,AN,06:00:00,2,0.04,0.073,N,0.046,0.022,N,0.05,Wednesday
2019-02-14,23,0,AN,06:00:00,2,0.044,0.084,N,0.053,0.02,N,0.061,Thursday
2019-02-18,23,0,AN,06:00:00,2,0.049,0.087,N,0.059,0.021,N,0.069,Monday
2019-02-22,23,0,AN,06:00:00,2,0.021,0.086,N,0.041,0.017,N,0.048,Friday
2019-03-11,23,0,AN,06:00:00,2,0.05,0.095,N,0.048,0.018,N,0.054,Monday
2019-03-12,23,0,AN,06:00:00,2,0.049,0.087,N,0.054,0.012,N,0.064,Tuesday
2019-03-14,23,0,AN,06:00:00,2,0.093,0.09104333,N,0.053,0.017,N,0.061,Thursday
2019-03-15,23,0,AN,06:00:00,2,0.038,0.078,N,0.062,0.021,N,0.069,Friday
2019-03-18,23,0,AN,06:00:00,2,0.04,0.088,N,0.127,0.068,N,0.147,Monday
2019-03-19,23,0,AN,06:00:00,2,0.04,0.101,N,0.046,0.013,N,0.055,Tuesday
2019-03-20,23,0,AN,06:00:00,2,0.041,0.085,N,0.047,0.019,N,0.054,Wednesday
2019-03-22,23,0,AN,06:00:00,2,0.072,0.09056333,N,0.047,0.018,N,0.054,Friday
2019-03-25,23,0,AN,06:00:00,2,0.048,0.092,N,0.054,0.02,N,0.066,Monday
2019-03-26,23,0,AN,06:00:00,2,0.041,0.09057333,N,0.053,0.02,N,0.061,Tuesday
2019-03-28,23,0,AN,06:00:00,2,0.043,0.076,N,0.06,0.028,N,0.067,Thursday
2019-03-29,23,0,AN,06:00:00,2,0.038,0.085,N,0.054,0.02,N,0.063,Friday
2019-04-01,23,0,AN,06:00:00,2,0.037,0.079,N,0.053,0.024,N,0.062,Monday
2019-04-04,23,0,AN,06:00:00,2,0.04,0.082,N,0.061,0.025,N,0.07,Thursday
2019-04-05,23,0,AN,06:00:00,2,0.043,0.066,N,0.044,0.02,N,0.054,Friday
2019-04-08,23,0,AN,06:00:00,2,0.045696,0.076,N,0.05,0.017,N,0.061,Monday
2019-04-10,23,0,AN,06:00:00,2,0.043,0.097,N,0.049,0.015,N,0.06,Wednesday
2019-04-11,23,0,AN,06:00:00,2,0.053,0.09,N,0.045,0.02,N,0.055,Thursday
2019-04-19,23,0,AN,06:00:00,2,0.0454,0.061,N,0.049,0.024,N,0.059,Friday
2019-05-06,23,0,AN,06:00:00,2,0.041,0.09057333,N,0.061,0.023,N,0.068,Monday
