date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,23,0,AS,06:00:00,2,0.036,0.094,N,0.026,N,N,0.061,Monday
2019-01-14,23,0,AS,06:00:00,2,0.081,0.08333333,N,0.021,N,N,0.052,Monday
2019-01-16,23,0,AS,06:00:00,2,0.034,0.08333333,N,0.031,N,N,0.063,Wednesday
2019-01-17,23,0,AS,06:00:00,2,0.0392,0.08,N,0.025,N,N,0.054,Thursday
2019-01-18,23,0,AS,06:00:00,2,0.035,0.08333333,N,0.02,N,N,0.046,Friday
2019-01-21,23,0,AS,06:00:00,2,0.046,0.096,N,0.022,N,N,0.062,Monday
2019-01-22,23,0,AS,06:00:00,2,0.106,0.08333333,N,0.022,N,N,0.053,Tuesday
2019-01-24,23,0,AS,06:00:00,2,0.048,0.097,N,0.022,N,N,0.058,Thursday
2019-01-25,23,0,AS,06:00:00,2,0.036,0.067,N,0.029,N,N,0.053,Friday
2019-01-28,23,0,AS,06:00:00,2,0.042,0.08116667,N,0.028,N,N,0.059,Monday
2019-01-29,23,0,AS,06:00:00,2,0.042,0.069,N,0.032,N,N,0.057,Tuesday
2019-02-01,23,0,AS,06:00:00,2,0.0412,0.069,N,0.027,N,N,0.06,Friday
2019-02-04,23,0,AS,06:00:00,2,0.036,0.069,N,0.021,N,N,0.059,Monday
2019-02-05,23,0,AS,06:00:00,2,0.041,0.073,N,0.02,N,N,0.055,Tuesday
2019-02-06,23,0,AS,06:00:00,2,0.032,0.077,N,0.011,N,N,0.045,Wednesday
2019-02-08,23,0,AS,06:00:00,2,0.037,0.075,N,0.021,N,N,0.044,Friday
2019-02-11,23,0,AS,06:00:00,2,0.031,0.1,N,0.015,N,N,0.044,Monday
2019-02-12,23,0,AS,06:00:00,2,0.039,0.091,N,0.018,N,N,0.05,Tuesday
2019-02-13,23,0,AS,06:00:00,2,0.034,0.069,N,0.022,N,N,0.046,Wednesday
2019-02-14,23,0,AS,06:00:00,2,0.041,0.078,N,0.02,N,N,0.053,Thursday
2019-02-18,23,0,AS,06:00:00,2,0.043,0.079,N,0.021,N,N,0.059,Monday
2019-02-22,23,0,AS,06:00:00,2,0.018,0.079,N,0.017,N,N,0.041,Friday
2019-03-11,23,0,AS,06:00:00,2,0.046,0.087,N,0.018,N,N,0.048,Monday
2019-03-12,23,0,AS,06:00:00,2,0.044,0.077,N,0.012,N,N,0.054,Tuesday
2019-03-14,23,0,AS,06:00:00,2,0.043,0.085,N,0.017,N,N,0.053,Thursday
2019-03-15,23,0,AS,06:00:00,2,0.036,0.072,N,0.021,N,N,0.062,Friday
2019-03-18,23,0,AS,06:00:00,2,0.0444,0.07908333,N,0.068,N,N,0.127,Monday
2019-03-19,23,0,AS,06:00:00,2,0.037,0.092,N,0.013,N,N,0.046,Tuesday
2019-03-20,23,0,AS,06:00:00,2,0.035,0.076,N,0.019,N,N,0.047,Wednesday
2019-03-22,23,0,AS,06:00:00,2,0.04025,0.066,N,0.018,N,N,0.047,Friday
2019-03-25,23,0,AS,06:00:00,2,0.042,0.087,N,0.02,N,N,0.054,Monday
2019-03-26,23,0,AS,06:00:00,2,0.04,0.08120833,N,0.02,N,N,0.053,Tuesday
2019-03-28,23,0,AS,06:00:00,2,0.039,0.069,N,0.028,N,N,0.06,Thursday
2019-03-29,23,0,AS,06:00:00,2,0.035,0.075,N,0.02,N,N,0.054,Friday
