date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,12,0,BC,10:00:00,2,0.102,N,N,N,N,N,0.014,Monday
2019-01-08,12,0,BC,10:00:00,2,0.131,N,N,N,N,N,0.014,Tuesday
2019-01-09,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.023,Wednesday
2019-01-10,12,0,BC,10:00:00,2,0.101,N,N,N,N,N,0.023,Thursday
2019-01-11,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.015,Friday
2019-01-14,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.016,Monday
2019-01-15,12,0,BC,10:00:00,2,0.117,N,N,N,N,N,0.016,Tuesday
2019-01-16,12,0,BC,10:00:00,2,0.107,N,N,N,N,N,0.02,Wednesday
2019-01-17,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.018,Thursday
2019-01-18,12,0,BC,10:00:00,2,0.102,N,N,N,N,N,0.019,Friday
2019-01-22,12,0,BC,10:00:00,2,0.261,N,N,N,N,N,0.02,Tuesday
2019-01-23,12,0,BC,10:00:00,2,0.134,N,N,N,N,N,0.026,Wednesday
2019-01-24,12,0,BC,10:00:00,2,0.144,N,N,N,N,N,0.025,Thursday
2019-01-25,12,0,BC,10:00:00,2,0.111,N,N,N,N,N,0.017,Friday
2019-01-31,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.014,Thursday
2019-02-01,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.031,Friday
2019-02-04,12,0,BC,10:00:00,2,0.11,N,N,N,N,N,0.014,Monday
2019-02-06,12,0,BC,10:00:00,2,0.101,N,N,N,N,N,0.02,Wednesday
2019-02-07,12,0,BC,10:00:00,2,0.134,N,N,N,N,N,0.022,Thursday
2019-02-08,12,0,BC,10:00:00,2,0.111,N,N,N,N,N,0.021,Friday
2019-02-11,12,0,BC,10:00:00,2,0.118,N,N,N,N,N,0.017,Monday
2019-02-12,12,0,BC,10:00:00,2,0.13,N,N,N,N,N,0.016,Tuesday
2019-02-15,12,0,BC,10:00:00,2,0.109,N,N,N,N,N,0.036,Friday
2019-02-18,12,0,BC,10:00:00,2,0.119,N,N,N,N,N,0.025,Monday
2019-03-12,12,0,BC,10:00:00,2,0.129,N,N,N,N,N,0.02,Tuesday
2019-03-13,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.024,Wednesday
2019-03-14,12,0,BC,10:00:00,2,0.126,N,N,N,N,N,0.024,Thursday
2019-03-15,12,0,BC,10:00:00,2,0.1,N,N,N,N,N,0.014,Friday
2019-03-18,12,0,BC,10:00:00,2,0.120589743589744,N,N,N,N,N,0.018,Monday
2019-03-19,12,0,BC,10:00:00,2,0.121,N,N,N,N,N,0.016,Tuesday
2019-03-20,12,0,BC,10:00:00,2,0.111,N,N,N,N,N,0.004,Wednesday
2019-03-25,12,0,BC,10:00:00,2,0.113,N,N,N,N,N,0.023,Monday
