date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,12,0,AI,06:00:00,2,0.166,N,N,0.065,0.044,0.028,0.097,Monday
2019-01-08,12,0,AI,06:00:00,2,0.177,N,N,0.069,0.049,0.028,0.106,Tuesday
2019-01-09,12,0,AI,06:00:00,2,0.15425,N,N,0.079,0.057,0.042,0.131,Wednesday
2019-01-10,12,0,AI,06:00:00,2,0.14,N,N,0.086,0.066,0.038,0.127,Thursday
2019-01-11,12,0,AI,06:00:00,2,0.168666666666667,N,N,0.048,0.039,0.022,0.073,Friday
2019-01-14,12,0,AI,06:00:00,2,0.172333333333333,N,N,0.078,0.048,0.031,0.116,Monday
2019-01-15,12,0,AI,06:00:00,2,0.151,N,N,0.081,0.056,0.031,0.108,Tuesday
2019-01-16,12,0,AI,06:00:00,2,0.156,N,N,0.067,0.047,0.031,0.1,Wednesday
2019-01-17,12,0,AI,06:00:00,2,0.168666666666667,N,N,0.068,0.051,0.032,0.103,Thursday
2019-01-18,12,0,AI,06:00:00,2,0.126,N,N,0.07,0.055,0.037,0.102,Friday
2019-01-22,12,0,AI,06:00:00,2,0.265,N,N,0.078,0.055,0.039,0.119,Tuesday
2019-01-23,12,0,AI,06:00:00,2,0.175,N,N,0.07,0.043,0.04,0.1,Wednesday
2019-01-24,12,0,AI,06:00:00,2,0.169,N,N,0.082,0.056,0.04,0.132,Thursday
2019-01-25,12,0,AI,06:00:00,2,0.131,N,N,0.069,0.051,0.032,0.113,Friday
2019-01-31,12,0,AI,06:00:00,2,0.168666666666667,N,N,0.07,0.05,0.031,0.104,Thursday
2019-02-01,12,0,AI,06:00:00,2,0.157133333333333,N,N,0.079,0.061,0.047,0.101,Friday
2019-02-04,12,0,AI,06:00:00,2,0.134,N,N,0.063,0.041,0.024,0.101,Monday
2019-02-06,12,0,AI,06:00:00,2,0.143,N,N,0.08,0.059,0.039,0.119,Wednesday
2019-02-07,12,0,AI,06:00:00,2,0.168,N,N,0.083,0.06,0.037,0.119,Thursday
2019-02-08,12,0,AI,06:00:00,2,0.144,N,N,0.078,0.05,0.037,0.095,Friday
2019-02-11,12,0,AI,06:00:00,2,0.163,N,N,0.068,0.047,0.034,0.106,Monday
2019-02-12,12,0,AI,06:00:00,2,0.159,N,N,0.074,0.05,0.03,0.101,Tuesday
2019-02-13,12,0,AI,06:00:00,2,0.145,N,N,0.069,0.047,0.04344,0.094,Wednesday
2019-02-15,12,0,AI,06:00:00,2,0.112,N,N,0.122,0.095,0.086,0.163,Friday
2019-02-18,12,0,AI,06:00:00,2,0.165,N,N,0.079,0.057,0.043,0.107,Monday
2019-02-19,12,0,AI,06:00:00,2,0.182,N,N,0.06,0.03,0.037,0.089,Tuesday
2019-02-21,12,0,AI,06:00:00,2,0.189,N,N,0.059,0.039,0.0342,0.08,Thursday
2019-03-12,12,0,AI,06:00:00,2,0.166,N,N,0.099,0.07,0.039,0.142,Tuesday
2019-03-13,12,0,AI,06:00:00,2,0.172666666666667,N,N,0.068,0.054,0.035,0.091,Wednesday
2019-03-14,12,0,AI,06:00:00,2,0.173,N,N,0.068,0.048,0.032,0.108,Thursday
2019-03-15,12,0,AI,06:00:00,2,0.137,N,N,0.074,0.052,0.025,0.095,Friday
2019-03-18,12,0,AI,06:00:00,2,0.163533333333333,N,N,0.076,0.053,0.036,0.093,Monday
2019-03-19,12,0,AI,06:00:00,2,0.176,N,N,0.066,0.049,0.031,0.086,Tuesday
2019-03-20,12,0,AI,06:00:00,2,0.156,N,N,0.065,0.035,0.017,0.098,Wednesday
2019-03-25,12,0,AI,06:00:00,2,0.139,N,N,0.073,0.058,0.039,0.113,Monday
2019-03-27,12,0,AI,06:00:00,2,0.171,N,N,0.079,0.053,0.025,0.116,Wednesday
2019-03-28,12,0,AI,06:00:00,2,0.149,N,N,0.074,0.049,0.023,0.113,Thursday
2019-03-29,12,0,AI,06:00:00,2,0.142,N,N,0.078,0.05,0.026,0.121,Friday
2019-04-01,12,0,AI,06:00:00,2,0.155,N,N,0.068,0.05,0.03,0.107,Monday
2019-04-02,12,0,AI,06:00:00,2,0.165783333333333,N,N,0.066,0.047,0.024,0.097,Tuesday
2019-04-03,12,0,AI,06:00:00,2,0.164,N,N,0.073,0.038,0.023,0.098,Wednesday
2019-04-04,12,0,AI,06:00:00,2,0.153,N,N,0.086,0.059,0.029,0.129,Thursday
2019-04-05,12,0,AI,06:00:00,2,0.155,N,N,0.068,0.043,0.024,0.11,Friday
2019-04-08,12,0,AI,06:00:00,2,0.179166666666667,N,N,0.072,0.05,0.033,0.107,Monday
2019-04-09,12,0,AI,06:00:00,2,0.2,N,N,0.098,0.062,0.029,0.139,Tuesday
2019-04-11,12,0,AI,06:00:00,2,0.158,N,N,0.088,0.054,0.029,0.129,Thursday
2019-04-12,12,0,AI,06:00:00,2,0.151,N,N,0.086,0.053,0.033,0.121,Friday
2019-04-15,12,0,AI,06:00:00,2,0.144,N,N,0.075,0.052,0.035,0.105,Monday
2019-04-18,12,0,AI,06:00:00,2,0.165783333333333,N,N,0.067,0.049,0.029,0.1,Thursday
2019-04-19,12,0,AI,06:00:00,2,0.174533333333333,N,N,0.074,0.052,0.034,0.107,Friday
2019-05-06,12,0,AI,06:00:00,2,0.145,N,N,0.059,0.038,0.022,0.089,Monday
2019-05-07,12,0,AI,06:00:00,2,0.188,N,N,0.069,0.046,0.029,0.11,Tuesday
2019-05-09,12,0,AI,06:00:00,2,0.156,N,N,0.072,0.043,0.028,0.089,Thursday
2019-05-13,12,0,AI,06:00:00,2,0.163533333333333,N,N,0.079,0.049,0.029,0.13,Monday
2019-05-14,12,0,AI,06:00:00,2,0.168133333333333,N,N,0.083,0.055,0.029,0.111,Tuesday
2019-05-20,12,0,AI,06:00:00,2,0.182,N,N,0.071,0.043,0.035,0.097,Monday
2019-03-21,12,0,AI,06:00:00,2,0.168133333333333,N,N,0.095,0.041,0.033,0.145,Thursday
