date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,12,0,AL,06:00:00,2,0.15,N,N,0.023,0.014,N,0.028,Monday
2019-01-08,12,0,AL,06:00:00,2,0.169,N,N,0.02,0.014,N,0.028,Tuesday
2019-01-09,12,0,AL,06:00:00,2,0.1465,N,N,0.035,0.023,N,0.042,Wednesday
2019-01-10,12,0,AL,06:00:00,2,0.138,N,N,0.034,0.023,N,0.038,Thursday
2019-01-11,12,0,AL,06:00:00,2,0.150875,N,N,0.018,0.015,N,0.022,Friday
2019-01-14,12,0,AL,06:00:00,2,0.154333333333333,N,N,0.025,0.016,N,0.031,Monday
2019-01-15,12,0,AL,06:00:00,2,0.155,N,N,0.025,0.016,N,0.031,Tuesday
2019-01-16,12,0,AL,06:00:00,2,0.142,N,N,0.026,0.02,N,0.031,Wednesday
2019-01-17,12,0,AL,06:00:00,2,0.148,N,N,0.025,0.018,N,0.032,Thursday
2019-01-18,12,0,AL,06:00:00,2,0.129,N,N,0.032,0.019,N,0.037,Friday
2019-01-22,12,0,AL,06:00:00,2,0.319,N,N,0.033,0.02,N,0.039,Tuesday
2019-01-23,12,0,AL,06:00:00,2,0.168,N,N,0.035,0.026,N,0.04,Wednesday
2019-01-24,12,0,AL,06:00:00,2,0.182,N,N,0.031,0.025,N,0.04,Thursday
2019-01-25,12,0,AL,06:00:00,2,0.142,N,N,0.028,0.017,N,0.032,Friday
2019-01-31,12,0,AL,06:00:00,2,0.154333333333333,N,N,0.027,0.014,N,0.031,Thursday
2019-02-01,12,0,AL,06:00:00,2,0.1385,N,N,0.042,0.031,N,0.047,Friday
2019-02-04,12,0,AL,06:00:00,2,0.142,N,N,0.02,0.014,N,0.024,Monday
2019-02-06,12,0,AL,06:00:00,2,0.135,N,N,0.033,0.02,N,0.039,Wednesday
2019-02-07,12,0,AL,06:00:00,2,0.174,N,N,0.033,0.022,N,0.037,Thursday
2019-02-08,12,0,AL,06:00:00,2,0.139,N,N,0.031,0.021,N,0.037,Friday
2019-02-11,12,0,AL,06:00:00,2,0.154,N,N,0.027,0.017,N,0.034,Monday
2019-02-12,12,0,AL,06:00:00,2,0.162,N,N,0.023,0.016,N,0.03,Tuesday
2019-02-15,12,0,AL,06:00:00,2,0.112,N,N,0.075,0.036,N,0.086,Friday
2019-02-18,12,0,AL,06:00:00,2,0.151,N,N,0.038,0.025,N,0.043,Monday
2019-03-12,12,0,AL,06:00:00,2,0.166,N,N,0.03,0.02,N,0.039,Tuesday
2019-03-13,12,0,AL,06:00:00,2,0.1465,N,N,0.03,0.024,N,0.035,Wednesday
2019-03-14,12,0,AL,06:00:00,2,0.155,N,N,0.027,0.024,N,0.032,Thursday
2019-03-15,12,0,AL,06:00:00,2,0.131,N,N,0.022,0.014,N,0.025,Friday
2019-03-18,12,0,AL,06:00:00,2,0.143625,N,N,0.028,0.018,N,0.036,Monday
2019-03-19,12,0,AL,06:00:00,2,0.165,N,N,0.024,0.016,N,0.031,Tuesday
2019-03-20,12,0,AL,06:00:00,2,0.144,N,N,0.013,0.004,N,0.017,Wednesday
2019-03-25,12,0,AL,06:00:00,2,0.143,N,N,0.034,0.023,N,0.039,Monday
2019-03-27,12,0,AL,06:00:00,2,0.157,N,N,0.021,0.012,N,0.025,Wednesday
