date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,12,0,AO,06:00:00,2,0.133,N,N,0.014,N,N,0.023,Monday
2019-01-08,12,0,AO,06:00:00,2,0.157,N,N,0.014,N,N,0.02,Tuesday
2019-01-09,12,0,AO,06:00:00,2,0.131,N,N,0.023,N,N,0.035,Wednesday
2019-01-10,12,0,AO,06:00:00,2,0.129,N,N,0.023,N,N,0.034,Thursday
2019-01-11,12,0,AO,06:00:00,2,0.1525,N,N,0.015,N,N,0.018,Friday
2019-01-14,12,0,AO,06:00:00,2,0.155,N,N,0.016,N,N,0.025,Monday
2019-01-15,12,0,AO,06:00:00,2,0.146,N,N,0.016,N,N,0.025,Tuesday
2019-01-16,12,0,AO,06:00:00,2,0.132,N,N,0.02,N,N,0.026,Wednesday
2019-01-17,12,0,AO,06:00:00,2,0.136333333333333,N,N,0.018,N,N,0.025,Thursday
2019-01-18,12,0,AO,06:00:00,2,0.119,N,N,0.019,N,N,0.032,Friday
2019-01-22,12,0,AO,06:00:00,2,0.303,N,N,0.02,N,N,0.033,Tuesday
2019-01-23,12,0,AO,06:00:00,2,0.161,N,N,0.026,N,N,0.035,Wednesday
2019-01-24,12,0,AO,06:00:00,2,0.171,N,N,0.025,N,N,0.031,Thursday
2019-01-25,12,0,AO,06:00:00,2,0.134,N,N,0.017,N,N,0.028,Friday
2019-01-31,12,0,AO,06:00:00,2,0.159,N,N,0.014,N,N,0.027,Thursday
2019-02-01,12,0,AO,06:00:00,2,0.13475,N,N,0.031,N,N,0.042,Friday
2019-02-04,12,0,AO,06:00:00,2,0.136,N,N,0.014,N,N,0.02,Monday
2019-02-06,12,0,AO,06:00:00,2,0.127,N,N,0.02,N,N,0.033,Wednesday
2019-02-07,12,0,AO,06:00:00,2,0.168,N,N,0.022,N,N,0.033,Thursday
2019-02-08,12,0,AO,06:00:00,2,0.135,N,N,0.021,N,N,0.031,Friday
2019-02-11,12,0,AO,06:00:00,2,0.143,N,N,0.017,N,N,0.027,Monday
2019-02-12,12,0,AO,06:00:00,2,0.153,N,N,0.016,N,N,0.023,Tuesday
2019-02-15,12,0,AO,06:00:00,2,0.112,N,N,0.036,N,N,0.075,Friday
2019-02-18,12,0,AO,06:00:00,2,0.145,N,N,0.025,N,N,0.038,Monday
2019-03-12,12,0,AO,06:00:00,2,0.157,N,N,0.02,N,N,0.03,Tuesday
2019-03-13,12,0,AO,06:00:00,2,0.13475,N,N,0.024,N,N,0.03,Wednesday
2019-03-14,12,0,AO,06:00:00,2,0.15,N,N,0.024,N,N,0.027,Thursday
2019-03-15,12,0,AO,06:00:00,2,0.123,N,N,0.014,N,N,0.022,Friday
2019-03-18,12,0,AO,06:00:00,2,0.1359375,N,N,0.018,N,N,0.028,Monday
2019-03-19,12,0,AO,06:00:00,2,0.152,N,N,0.016,N,N,0.024,Tuesday
2019-03-20,12,0,AO,06:00:00,2,0.133,N,N,0.004,N,N,0.013,Wednesday
2019-03-25,12,0,AO,06:00:00,2,0.134,N,N,0.023,N,N,0.034,Monday
2019-03-27,12,0,AO,06:00:00,2,0.148,N,N,0.012,N,N,0.021,Wednesday
2019-03-28,12,0,AO,06:00:00,2,0.136,N,N,0.011,N,N,0.018,Thursday
2019-03-29,12,0,AO,06:00:00,2,0.127,N,N,0.011,N,N,0.021,Friday
2019-04-01,12,0,AO,06:00:00,2,0.133,N,N,0.015,N,N,0.024,Monday
2019-04-02,12,0,AO,06:00:00,2,0.1493,N,N,0.005,N,N,0.014,Tuesday
2019-04-03,12,0,AO,06:00:00,2,0.139,N,N,0.007,N,N,0.018,Wednesday
2019-04-04,12,0,AO,06:00:00,2,0.146,N,N,0.015,N,N,0.026,Thursday
2019-04-05,12,0,AO,06:00:00,2,0.14,N,N,0.011,N,N,0.016,Friday
2019-04-08,12,0,AO,06:00:00,2,0.1493,N,N,0.012,N,N,0.029,Monday
2019-04-09,12,0,AO,06:00:00,2,0.159,N,N,0.012,N,N,0.022,Tuesday
2019-04-11,12,0,AO,06:00:00,2,0.149,N,N,0.013,N,N,0.024,Thursday
2019-04-12,12,0,AO,06:00:00,2,0.127,N,N,0.015,N,N,0.028,Friday
2019-04-15,12,0,AO,06:00:00,2,0.143,N,N,0.018,N,N,0.032,Monday
2019-04-18,12,0,AO,06:00:00,2,0.1493,N,N,0.013,N,N,0.024,Thursday
2019-04-19,12,0,AO,06:00:00,2,0.14895,N,N,0.015,N,N,0.028,Friday
