date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,1,0,AD,06:00:00,2,N,N,N,0.201,0.138,0.091,0.216,Monday
2019-01-08,1,0,AD,06:00:00,2,N,N,N,0.204,0.152,0.106,0.216,Tuesday
2019-01-10,1,0,AD,06:00:00,2,N,N,N,0.213,0.153,0.111,0.227,Thursday
2019-01-11,1,0,AD,06:00:00,2,N,N,N,0.213,0.152,0.108,0.229,Friday
2019-01-14,1,0,AD,06:00:00,2,N,N,N,0.21,0.147,0.096,0.225,Monday
2019-01-15,1,0,AD,06:00:00,2,N,N,N,0.218,0.154,0.106,0.238,Tuesday
2019-01-17,1,0,AD,06:00:00,2,N,N,N,0.209,0.14,0.094,0.228,Thursday
2019-01-18,1,0,AD,06:00:00,2,N,N,N,0.207,0.141,0.104,0.217,Friday
2019-01-21,1,0,AD,06:00:00,2,N,N,N,0.234,0.149,0.111,0.258,Monday
2019-01-22,1,0,AD,06:00:00,2,N,N,N,0.223,0.151,0.102,0.242,Tuesday
2019-01-23,1,0,AD,06:00:00,2,N,N,N,0.225,0.15,0.113,0.244,Wednesday
2019-01-24,1,0,AD,06:00:00,2,N,N,N,0.218,0.156,0.117,0.241,Thursday
2019-01-28,1,0,AD,06:00:00,2,N,N,N,0.207,0.15,0.11,0.221,Monday
2019-01-29,1,0,AD,06:00:00,2,N,N,N,0.204,0.142,0.1,0.221,Tuesday
2019-01-31,1,0,AD,06:00:00,2,N,N,N,0.196,0.139,0.097,0.213,Thursday
2019-02-01,1,0,AD,06:00:00,2,N,N,N,0.175,0.129,0.095,0.189,Friday
2019-02-04,1,0,AD,06:00:00,2,N,N,N,0.199,0.145,0.095,0.217,Monday
2019-02-05,1,0,AD,06:00:00,2,N,N,N,0.199,0.139,0.095,0.216,Tuesday
2019-02-06,1,0,AD,06:00:00,2,N,N,N,0.208,0.143,0.102,0.23,Wednesday
2019-02-07,1,0,AD,06:00:00,2,N,N,N,0.226,0.163,0.117,0.243,Thursday
2019-02-11,1,0,AD,06:00:00,2,N,N,N,0.166,0.119,0.084,0.181,Monday
