date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,1,0,BE,06:00:00,2,N,N,N,0.045,0.068,N,0.084,Monday
2019-01-08,1,0,BE,06:00:00,2,N,N,N,0.044,0.069,N,0.096,Tuesday
2019-01-10,1,0,BE,06:00:00,2,N,N,N,0.061,0.085,N,0.104,Thursday
2019-01-11,1,0,BE,06:00:00,2,N,N,N,0.042,0.068,N,0.093,Friday
2019-01-14,1,0,BE,06:00:00,2,N,N,N,0.043,0.065,N,0.085,Monday
2019-01-15,1,0,BE,06:00:00,2,N,N,N,0.045,0.067,N,0.092,Tuesday
2019-01-17,1,0,BE,06:00:00,2,N,N,N,0.042,0.07,N,0.086,Thursday
2019-01-18,1,0,BE,06:00:00,2,N,N,N,0.04,0.063,N,0.088,Friday
2019-01-21,1,0,BE,06:00:00,2,N,N,N,0.054,0.075,N,0.095,Monday
2019-01-22,1,0,BE,06:00:00,2,N,N,N,0.037,0.056,N,0.082,Tuesday
2019-01-23,1,0,BE,06:00:00,2,N,N,N,0.043,0.081,N,0.1,Wednesday
2019-01-24,1,0,BE,06:00:00,2,N,N,N,0.038,0.072,N,0.099,Thursday
2019-01-28,1,0,BE,06:00:00,2,N,N,N,0.052,0.077,N,0.097,Monday
2019-01-29,1,0,BE,06:00:00,2,N,N,N,0.039,0.062,N,0.086,Tuesday
2019-01-31,1,0,BE,06:00:00,2,N,N,N,0.053,0.071,N,0.085,Thursday
2019-02-01,1,0,BE,06:00:00,2,N,N,N,0.044,0.072,N,0.086,Friday
2019-02-04,1,0,BE,06:00:00,2,N,N,N,0.043,0.066,N,0.087,Monday
2019-02-05,1,0,BE,06:00:00,2,N,N,N,0.047,0.067,N,0.086,Tuesday
2019-02-06,1,0,BE,06:00:00,2,N,N,N,0.047,0.073,N,0.089,Wednesday
2019-02-07,1,0,BE,06:00:00,2,N,N,N,0.044,0.066,N,0.094,Thursday
2019-02-11,1,0,BE,06:00:00,2,N,N,N,0.038,0.059,N,0.074,Monday
2019-02-12,1,0,BE,06:00:00,2,N,N,N,0.047,0.062,N,0.079,Tuesday
2019-02-13,1,0,BE,06:00:00,2,N,N,N,0.04,0.065,N,0.087,Wednesday
2019-02-14,1,0,BE,06:00:00,2,N,N,N,0.057,0.074,N,0.096,Thursday
2019-02-15,1,0,BE,06:00:00,2,N,N,N,0.037,0.054,N,0.078,Friday
2019-02-18,1,0,BE,06:00:00,2,N,N,N,0.04,0.058,N,0.081,Monday
2019-02-19,1,0,BE,06:00:00,2,N,N,N,0.04,0.056,N,0.074,Tuesday
