date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,1,0,BD,06:00:00,2,N,N,N,0.045,N,N,0.068,Monday
2019-01-08,1,0,BD,06:00:00,2,N,N,N,0.044,N,N,0.069,Tuesday
2019-01-10,1,0,BD,06:00:00,2,N,N,N,0.061,N,N,0.085,Thursday
2019-01-11,1,0,BD,06:00:00,2,N,N,N,0.042,N,N,0.068,Friday
2019-01-14,1,0,BD,06:00:00,2,N,N,N,0.043,N,N,0.065,Monday
2019-01-15,1,0,BD,06:00:00,2,N,N,N,0.045,N,N,0.067,Tuesday
2019-01-17,1,0,BD,06:00:00,2,N,N,N,0.042,N,N,0.07,Thursday
2019-01-18,1,0,BD,06:00:00,2,N,N,N,0.04,N,N,0.063,Friday
2019-01-21,1,0,BD,06:00:00,2,N,N,N,0.054,N,N,0.075,Monday
2019-01-22,1,0,BD,06:00:00,2,N,N,N,0.037,N,N,0.056,Tuesday
2019-01-23,1,0,BD,06:00:00,2,N,N,N,0.043,N,N,0.081,Wednesday
2019-01-24,1,0,BD,06:00:00,2,N,N,N,0.038,N,N,0.072,Thursday
2019-01-28,1,0,BD,06:00:00,2,N,N,N,0.052,N,N,0.077,Monday
2019-01-29,1,0,BD,06:00:00,2,N,N,N,0.039,N,N,0.062,Tuesday
2019-01-31,1,0,BD,06:00:00,2,N,N,N,0.053,N,N,0.071,Thursday
2019-02-01,1,0,BD,06:00:00,2,N,N,N,0.044,N,N,0.072,Friday
2019-02-04,1,0,BD,06:00:00,2,N,N,N,0.043,N,N,0.066,Monday
2019-02-05,1,0,BD,06:00:00,2,N,N,N,0.047,N,N,0.067,Tuesday
2019-02-06,1,0,BD,06:00:00,2,N,N,N,0.047,N,N,0.073,Wednesday
2019-02-07,1,0,BD,06:00:00,2,N,N,N,0.044,N,N,0.066,Thursday
2019-02-11,1,0,BD,06:00:00,2,N,N,N,0.038,N,N,0.059,Monday
