date,train,way,station,hour,composition,p1q0,p2q0,p3q0,p0q1,p0q2,p0q3,p0q0,day
2019-01-07,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.045,Monday
2019-01-08,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.044,Tuesday
2019-01-10,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.061,Thursday
2019-01-11,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.042,Friday
2019-01-14,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.043,Monday
2019-01-15,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.045,Tuesday
2019-01-17,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.042,Thursday
2019-01-18,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.04,Friday
2019-01-21,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.054,Monday
2019-01-22,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.037,Tuesday
2019-01-23,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.043,Wednesday
2019-01-24,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.038,Thursday
2019-01-28,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.052,Monday
2019-01-29,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.039,Tuesday
2019-01-31,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.053,Thursday
2019-02-01,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.044,Friday
2019-02-04,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.043,Monday
2019-02-05,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.047,Tuesday
2019-02-06,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.047,Wednesday
2019-02-07,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.044,Thursday
2019-02-11,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.038,Monday
2019-02-12,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.047,Tuesday
2019-02-13,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.04,Wednesday
2019-02-14,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.057,Thursday
2019-02-15,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.037,Friday
2019-02-18,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.04,Monday
2019-02-19,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.04,Tuesday
2019-02-21,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.045,Thursday
2019-03-11,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.053,Monday
2019-03-12,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.062,Tuesday
2019-03-14,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.046,Thursday
2019-03-18,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.054,Monday
2019-03-20,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.038,Wednesday
2019-03-22,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.049,Friday
2019-03-25,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.053,Monday
2019-03-26,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.06,Tuesday
2019-03-27,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.048,Wednesday
2019-03-28,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.045,Thursday
2019-03-29,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.049,Friday
2019-04-01,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.052,Monday
2019-04-02,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.047,Tuesday
2019-04-04,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.046,Thursday
2019-04-05,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.042,Friday
2019-04-08,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.039,Monday
2019-04-09,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.041,Tuesday
2019-04-10,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.04,Wednesday
2019-04-11,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.042,Thursday
2019-04-12,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.048,Friday
2019-04-15,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.046,Monday
2019-04-18,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.044,Thursday
2019-04-19,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.05,Friday
2019-05-06,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.037,Monday
2019-05-07,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.041,Tuesday
2019-05-10,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.047,Friday
2019-05-14,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.052,Tuesday
2019-05-15,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.049,Wednesday
2019-05-16,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.042,Thursday
2019-05-20,1,0,AX,10:00:00,2,N,N,N,N,N,N,0.054,Monday
2019-01-07,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.015,Monday
2019-01-08,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.017,Tuesday
2019-01-10,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.01,Thursday
2019-01-15,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.012,Tuesday
2019-01-16,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.014,Wednesday
2019-01-18,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.017,Friday
2019-01-21,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.022,Monday
2019-01-22,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.053,Tuesday
2019-01-23,22,0,BG,10:00:00,2,N,N,N,N,N,N,0.02,Wednesday
