date;train;way;station;hour;composition;p1q0;p2q0;p3q0;p0q1;p0q2;p0q3;day
21/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.226;0.165;0.128;Monday
22/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.221;0.159;0.114;Tuesday
27/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.227;0.175;0.133;Thursday
29/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.2;0.148;0.105;Friday
03/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.221;0.169;0.126;Monday
04/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.18;0.141;0.101;Tuesday
06/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.2;0.137;0.095;Thursday
07/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.19;0.132;0.089;Friday
11/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.215;0.161;0.122;Monday
12/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.196;0.136;0.104;Tuesday
13/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.219;0.162;0.113;Wednesday
14/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.195;0.147;0.104;Thursday
17/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.212;0.156;0.113;Monday
18/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.221;0.153;0.104;Tuesday
20/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.209;0.155;0.108;Thursday
21/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.197;0.154;0.119;Friday
24/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.182;0.134;0.098;Monday
25/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.203;0.15;0.114;Tuesday
27/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.228;0.163;0.11;Wednesday
28/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.201;0.143;0.102;Thursday
01/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.189;0.132;0.096;Monday
03/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.199;0.138;0.096;Tuesday
04/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.227;0.153;0.11;Wednesday
05/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.242;0.166;0.115;Thursday
21/05/2019;1;0;AI;06:00:00;2;0.106;0.179;NA;0.243;0.233;0.226;Friday
22/05/2019;1;0;AI;06:00:00;2;0.096;0.163;NA;0.234;0.238;0.221;Monday
27/05/2019;1;0;AI;06:00:00;2;0.095;0.159;NA;0.235;0.248;0.227;Tuesday
29/05/2019;1;0;AI;06:00:00;2;0.108;0.167;NA;0.212;0.223;0.2;Thursday
03/06/2019;1;0;AI;06:00:00;2;0.089;0.171333333333333;NA;0.234;0.248;0.221;Monday
04/06/2019;1;0;AI;06:00:00;2;0.172;0.163583333333333;NA;0.196;0.206;0.18;Tuesday
06/06/2019;1;0;AI;06:00:00;2;0.164;0.174333333333333;NA;0.214;0.225;0.2;Thursday
