date;train;way;station;hour;composition;p1q0;p2q0;p3q0;p0q1;p0q2;p0q3;p0q0
21/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.226;0.165;0.128;0.2425537109375
22/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.221;0.159;0.114;0.23626708984375
27/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.227;0.175;0.133;0.241546630859375
29/05/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.2;0.148;0.105;0.21337890625
03/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.221;0.169;0.126;0.23516845703125
04/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.18;0.141;0.101;0.191741943359375
06/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.2;0.137;0.095;0.214935302734375
07/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.19;0.132;0.089;0.20361328125
11/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.215;0.161;0.122;0.229583740234375
12/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.196;0.136;0.104;0.211334228515625
13/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.219;0.162;0.113;0.233062744140625
14/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.195;0.147;0.104;0.20782470703125
17/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.212;0.156;0.113;0.226287841796875
18/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.221;0.153;0.104;0.2366943359375
20/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.209;0.155;0.108;0.22259521484375
21/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.197;0.154;0.119;0.2098388671875
24/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.182;0.134;0.098;0.194305419921875
25/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.203;0.15;0.114;0.2171630859375
27/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.228;0.163;0.11;0.24273681640625
28/06/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.201;0.143;0.102;0.21527099609375
